t,sameInputNorm,sameInputBound,oldHistoryNorm,oldHistoryBound
11.3,3.16566297560775,3.16566297560776,0.107799709547825,0.107799709547822
11.3125,3.16328961849621,3.16328961849622,0.107718890076754,0.107718890076751
11.325,3.16091804073517,3.16091804073517,0.107638131197562,0.107638131197559
11.3375,3.15854824099061,3.15854824099061,0.107557432864821,0.107557432864819
11.35,3.15618021792951,3.15618021792952,0.107476795033139,0.107476795033137
11.3625,3.15381397021987,3.15381397021988,0.107396217657157,0.107396217657155
11.375,3.15144949653068,3.15144949653068,0.107315700691551,0.107315700691548
11.3875,3.1490867955319,3.14908679553191,0.107235244091029,0.107235244091026
11.4,3.14672586589454,3.14672586589454,0.107154847810334,0.107154847810332
11.4125,3.14436670629055,3.14436670629056,0.107074511804245,0.107074511804242
11.425,3.14200931539293,3.14200931539293,0.106994236027571,0.106994236027568
11.4375,3.13965369187562,3.13965369187563,0.106914020435157,0.106914020435155
11.45,3.1372998344136,3.1372998344136,0.106833864981883,0.106833864981881
11.4625,3.13494774168282,3.13494774168282,0.106753769622661,0.106753769622658
11.475,3.13259741236022,3.13259741236023,0.106673734312437,0.106673734312434
11.4875,3.13024884512375,3.13024884512376,0.106593759006191,0.106593759006189
11.5,3.12790203865235,3.12790203865235,0.106513843658938,0.106513843658935
11.5125,3.12555699162592,3.12555699162592,0.106433988225724,0.106433988225722
11.525,3.12321370272537,3.12321370272538,0.106354192661632,0.10635419266163
11.5375,3.12087217063262,3.12087217063263,0.106274456921776,0.106274456921773
11.55,3.11853239403055,3.11853239403056,0.106194780961305,0.106194780961302
11.5625,3.11619437160304,3.11619437160304,0.1061151647354,0.106115164735398
11.575,3.11385810203493,3.11385810203494,0.106035608199279,0.106035608199276
11.5875,3.1115235840121,3.1115235840121,0.10595611130819,0.105956111308188
11.6,3.10919081622136,3.10919081622136,0.105876674017417,0.105876674017414
11.6125,3.10685979735053,3.10685979735054,0.105797296282275,0.105797296282273
11.625,3.10453052608843,3.10453052608844,0.105717978058115,0.105717978058113
11.6375,3.10220300112483,3.10220300112483,0.105638719300321,0.105638719300319
11.65,3.09987722115049,3.0998772211505,0.105559519964309,0.105559519964307
11.6625,3.09755318485718,3.09755318485719,0.10548038000553,0.105480380005528
11.675,3.09523089093761,3.09523089093762,0.105401299379468,0.105401299379466
11.6875,3.09291033808551,3.09291033808551,0.105322278041639,0.105322278041637
11.7,3.09059152499555,3.09059152499555,0.105243315947595,0.105243315947592
11.7125,3.0882744503634,3.08827445036341,0.105164413052918,0.105164413052916
11.725,3.08595911288571,3.08595911288572,0.105085569313226,0.105085569313224
11.7375,3.08364551126011,3.08364551126011,0.10500678468417,0.105006784684168
11.75,3.08133364418519,3.08133364418519,0.104928059121434,0.104928059121431
11.7625,3.07902351036052,3.07902351036052,0.104849392580733,0.10484939258073
11.775,3.07671510848666,3.07671510848666,0.104770785017818,0.104770785017816
11.7875,3.07440843726512,3.07440843726513,0.104692236388473,0.10469223638847
11.8,3.07210349539842,3.07210349539843,0.104613746648513,0.104613746648511
11.8125,3.06980028159001,3.06980028159002,0.104535315753789,0.104535315753786
11.825,3.06749879454434,3.06749879454435,0.104456943660182,0.10445694366018
11.8375,3.06519903296683,3.06519903296684,0.104378630323609,0.104378630323607
11.85,3.06290099556385,3.06290099556386,0.104300375700019,0.104300375700016
11.8625,3.06060468104276,3.06060468104277,0.104222179745392,0.104222179745389
11.875,3.05831008811189,3.0583100881119,0.104144042415744,0.104144042415742
11.8875,3.05601721548052,3.05601721548053,0.104065963667123,0.104065963667121
11.9,3.05372606185892,3.05372606185892,0.103987943455609,0.103987943455607
11.9125,3.0514366259583,3.05143662595831,0.103909981737316,0.103909981737314
11.925,3.04914890649087,3.04914890649088,0.103832078468391,0.103832078468388
11.9375,3.04686290216978,3.04686290216979,0.103754233605012,0.10375423360501
11.95,3.04457861170915,3.04457861170916,0.103676447103393,0.10367644710339
11.9625,3.04229603382407,3.04229603382408,0.103598718919778,0.103598718919775
11.975,3.04001516723059,3.0400151672306,0.103521049010445,0.103521049010442
11.9875,3.03773601064572,3.03773601064573,0.103443437331705,0.103443437331702
12,3.03545856278744,3.03545856278745,0.1033658838399,0.103365883839898
12.0125,3.03318282237468,3.03318282237469,0.103288388491409,0.103288388491406
12.025,3.03090878812734,3.03090878812734,0.103210951242638,0.103210951242636
12.0375,3.02863645876627,3.02863645876627,0.103133572050031,0.103133572050028
12.05,3.02636583301329,3.02636583301329,0.10305625087006,0.103056250870058
12.0625,3.02409690959116,3.02409690959117,0.102978987659233,0.102978987659231
12.075,3.02182968722364,3.02182968722364,0.10290178237409,0.102901782374087
12.0875,3.01956416463538,3.01956416463539,0.102824634971202,0.102824634971199
12.1,3.01730034055206,3.01730034055206,0.102747545407173,0.102747545407171
12.1125,3.01503821370025,3.01503821370026,0.102670513638642,0.10267051363864
12.125,3.01277778280752,3.01277778280752,0.102593539622277,0.102593539622275
12.1375,3.01051904660236,3.01051904660237,0.102516623314781,0.102516623314779
12.15,3.00826200381426,3.00826200381427,0.102439764672889,0.102439764672886
12.1625,3.00600665317361,3.00600665317361,0.102362963653366,0.102362963653364
12.175,3.00375299341178,3.00375299341178,0.102286220213014,0.102286220213011
12.1875,3.00150102326109,3.00150102326109,0.102209534308663,0.102209534308661
12.2,2.9992507414548,2.99925074145481,0.102132905897178,0.102132905897175
12.2125,2.99700214672713,2.99700214672714,0.102056334935455,0.102056334935452
12.225,2.99475523781325,2.99475523781326,0.101979821380423,0.10197982138042
12.2375,2.99251001344928,2.99251001344928,0.101903365189043,0.101903365189041
12.25,2.99026647237226,2.99026647237227,0.101826966318309,0.101826966318307
12.2625,2.98802461332021,2.98802461332022,0.101750624725246,0.101750624725244
12.275,2.98578443503209,2.9857844350321,0.101674340366913,0.10167434036691
12.2875,2.98354593624779,2.9835459362478,0.101598113200398,0.101598113200396
12.3,2.98130911570816,2.98130911570816,0.101521943182825,0.101521943182822
12.3125,2.97907397215498,2.97907397215499,0.101445830271347,0.101445830271345
12.325,2.97684050433099,2.976840504331,0.101369774423152,0.101369774423149
12.3375,2.97460871097986,2.97460871097987,0.101293775595457,0.101293775595455
12.35,2.97237859084622,2.97237859084622,0.101217833745514,0.101217833745512
12.3625,2.9701501426756,2.97015014267561,0.101141948830605,0.101141948830603
12.375,2.96792336521453,2.96792336521453,0.101066120808045,0.101066120808043
12.3875,2.96569825721042,2.96569825721043,0.100990349635181,0.100990349635178
12.4,2.96347481741166,2.96347481741167,0.100914635269391,0.100914635269388
12.4125,2.96125304456756,2.96125304456757,0.100838977668086,0.100838977668083
12.425,2.95903293742838,2.95903293742839,0.100763376788708,0.100763376788706
12.4375,2.95681449474531,2.95681449474531,0.100687832588733,0.10068783258873
12.45,2.95459771527046,2.95459771527047,0.100612345025666,0.100612345025663
12.4625,2.95238259775691,2.95238259775692,0.100536914057046,0.100536914057043
12.475,2.95016914095865,2.95016914095865,0.100461539640442,0.10046153964044
12.4875,2.9479573436306,2.94795734363061,0.100386221733458,0.100386221733455
12.5,2.94574720452864,2.94574720452865,0.100310960293725,0.100310960293723
12.5125,2.94353872240956,2.94353872240957,0.100235755278911,0.100235755278908
12.525,2.94133189603109,2.9413318960311,0.100160606646711,0.100160606646709
12.5375,2.93912672415189,2.9391267241519,0.100085514354856,0.100085514354853
12.55,2.93692320553155,2.93692320553156,0.100010478361104,0.100010478361102
12.5625,2.93472133893059,2.9347213389306,0.09993549862325,0.0999354986232476
12.575,2.93252112311046,2.93252112311047,0.0998605750991162,0.0998605750991137
12.5875,2.93032255683354,2.93032255683355,0.0997857077465584,0.099785707746556
12.6,2.92812563886313,2.92812563886314,0.0997108965234638,0.0997108965234615
12.6125,2.92593036796348,2.92593036796349,0.0996361413877513,0.099636141387749
12.625,2.92373674289973,2.92373674289974,0.0995614422973709,0.0995614422973686
12.6375,2.92154476243798,2.92154476243799,0.0994867992103044,0.0994867992103021
12.65,2.91935442534523,2.91935442534524,0.099412212084565,0.0994122120845628
12.6625,2.91716573038943,2.91716573038943,0.0993376808781977,0.0993376808781954
12.675,2.91497867633942,2.91497867633943,0.0992632055492783,0.0992632055492761
12.6875,2.912793261965,2.91279326196501,0.0991887860559148,0.0991887860559126
12.7,2.91060948603686,2.91060948603687,0.0991144223562459,0.0991144223562438
12.7125,2.90842734732664,2.90842734732665,0.0990401144084423,0.0990401144084403
12.725,2.90624684460687,2.90624684460688,0.0989658621707057,0.0989658621707037
12.7375,2.90406797665104,2.90406797665104,0.0988916656012692,0.0988916656012671
12.75,2.90189074223351,2.90189074223352,0.0988175246583971,0.0988175246583951
12.7625,2.89971514012961,2.89971514012962,0.0987434393003853,0.0987434393003833
12.775,2.89754116911554,2.89754116911555,0.0986694094855608,0.0986694094855587
