conditionIndex,condition,perturbation,level,protocol,n,meanNRMSE,sdNRMSE,medianNRMSE,q25NRMSE,q75NRMSE
1,J=0,shot_noise_photons,100000,zero_shot,30,0.746339364162688,0.667033926671274,0.464406017121094,0.397916257156664,0.530093267367878
4,J=0.65,clean,0,zero_shot,10,0.269140212090042,0.00956990664007153,0.267668194446047,0.264972189023996,0.275792620471907
4,J=0.65,correlated_noise_fraction,0,pca_readout_recalibrated,30,0.37005681127596,0.0176257374124059,0.367182836304327,0.363529771640531,0.378613069111973
4,J=0.65,correlated_noise_fraction,0,zero_shot,30,16.0373326204024,21.8612180237305,7.50223857217342,3.27105301989458,12.8353690115576
4,J=0.65,correlated_noise_fraction,0.5,pca_readout_recalibrated,30,0.362252832642824,0.0195028144995391,0.359345408758452,0.353893588198231,0.371030556292761
4,J=0.65,correlated_noise_fraction,0.5,zero_shot,30,26.9538961619349,37.6490954002431,11.1477807085327,5.09775323005901,26.6624548301612
4,J=0.65,correlated_noise_fraction,0.9,pca_readout_recalibrated,30,0.34174822959366,0.0244904954806478,0.340329968293411,0.329118912125489,0.348656536963915
4,J=0.65,correlated_noise_fraction,0.9,zero_shot,30,33.0640606444679,46.9591343088063,13.9146321667236,6.21794768472855,34.3348198378986
4,J=0.65,detector_snr_db,20,pca_readout_recalibrated,30,0.397006851362408,0.0177116558390302,0.390302954828483,0.385535790523278,0.408472159156334
4,J=0.65,detector_snr_db,20,zero_shot,30,50.1932939634595,67.3091867199726,23.9166628361328,10.3675513543157,40.9198170542123
4,J=0.65,detector_snr_db,30,pca_readout_recalibrated,30,0.369198061102303,0.0175806300690957,0.365144589444784,0.360446265163176,0.377698817991801
4,J=0.65,detector_snr_db,30,zero_shot,30,16.0324832361234,21.7766540308821,7.53627417187852,3.27280431204774,12.8216266220593
4,J=0.65,detector_snr_db,40,pca_readout_recalibrated,30,0.344232404780065,0.0254485673701743,0.341824682225326,0.33066890936439,0.3488286513747
4,J=0.65,detector_snr_db,40,zero_shot,30,5.09025817067168,6.86065434261899,2.37989296837627,1.08262660700514,4.11140978028651
