seedIndex,conditionIndex,condition,perturbation,level,replicate,protocol,ridgeLambda,validationNRMSE
1,4,J=0.65,gain_mismatch_sigma,0.05,3,pca_readout_recalibrated,0.00215443469003188,0.264972189020745
1,4,J=0.65,gain_mismatch_sigma,0.1,1,zero_shot,0.00215443469003188,9.49534377600124
1,4,J=0.65,gain_mismatch_sigma,0.1,1,pca_readout_recalibrated,0.00215443469003188,0.26497218902142
1,4,J=0.65,gain_mismatch_sigma,0.1,2,zero_shot,0.00215443469003188,16.5626763967036
1,4,J=0.65,gain_mismatch_sigma,0.1,2,pca_readout_recalibrated,0.00215443469003188,0.2649721890205
1,4,J=0.65,gain_mismatch_sigma,0.1,3,zero_shot,0.00215443469003188,17.8952072122156
1,4,J=0.65,gain_mismatch_sigma,0.1,3,pca_readout_recalibrated,0.00215443469003188,0.264972189020541
1,4,J=0.65,sampling_jitter_fraction,0.01,1,zero_shot,0.00215443469003188,0.265102043770532
1,4,J=0.65,sampling_jitter_fraction,0.01,1,pca_readout_recalibrated,0.00215443469003188,0.264931632606857
1,4,J=0.65,sampling_jitter_fraction,0.01,2,zero_shot,0.00215443469003188,0.265102043770532
1,4,J=0.65,sampling_jitter_fraction,0.01,2,pca_readout_recalibrated,0.00215443469003188,0.264931632606857
1,4,J=0.65,sampling_jitter_fraction,0.01,3,zero_shot,0.00215443469003188,0.265102043770532
1,4,J=0.65,sampling_jitter_fraction,0.01,3,pca_readout_recalibrated,0.00215443469003188,0.264931632606857
1,4,J=0.65,sampling_jitter_fraction,0.05,1,zero_shot,0.00215443469003188,0.26813880819628
1,4,J=0.65,sampling_jitter_fraction,0.05,1,pca_readout_recalibrated,0.00215443469003188,0.264788443726329
1,4,J=0.65,sampling_jitter_fraction,0.05,2,zero_shot,0.00215443469003188,0.26813880819628
1,4,J=0.65,sampling_jitter_fraction,0.05,2,pca_readout_recalibrated,0.00215443469003188,0.264788443726329
1,4,J=0.65,sampling_jitter_fraction,0.05,3,zero_shot,0.00215443469003188,0.26813880819628
1,4,J=0.65,sampling_jitter_fraction,0.05,3,pca_readout_recalibrated,0.00215443469003188,0.264788443726329
1,4,J=0.65,sampling_jitter_fraction,0.1,1,zero_shot,0.00215443469003188,0.277392448596295
1,4,J=0.65,sampling_jitter_fraction,0.1,1,pca_readout_recalibrated,0.00215443469003188,0.264650275998419
1,4,J=0.65,sampling_jitter_fraction,0.1,2,zero_shot,0.00215443469003188,0.277392448596295
1,4,J=0.65,sampling_jitter_fraction,0.1,2,pca_readout_recalibrated,0.00215443469003188,0.264650275998419
1,4,J=0.65,sampling_jitter_fraction,0.1,3,zero_shot,0.00215443469003188,0.277392448596295
1,4,J=0.65,sampling_jitter_fraction,0.1,3,pca_readout_recalibrated,0.00215443469003188,0.264650275998419
1,4,J=0.65,failed_modes,1,1,zero_shot,0.00215443469003188,7.66516617561285
1,4,J=0.65,failed_modes,1,1,pca_readout_recalibrated,0.00215443469003188,0.267308911966081
1,4,J=0.65,failed_modes,1,2,zero_shot,0.00215443469003188,4.60379381647962
1,4,J=0.65,failed_modes,1,2,pca_readout_recalibrated,0.00215443469003188,0.269551026688201
1,4,J=0.65,failed_modes,1,3,zero_shot,0.00215443469003188,11.668113968888
1,4,J=0.65,failed_modes,1,3,pca_readout_recalibrated,0.00215443469003188,0.276342856173961
1,4,J=0.65,failed_modes,2,1,zero_shot,0.00215443469003188,7.29361734804695
1,4,J=0.65,failed_modes,2,1,pca_readout_recalibrated,0.00215443469003188,0.263972056742726
1,4,J=0.65,failed_modes,2,2,zero_shot,0.00215443469003188,10.5576988841576
1,4,J=0.65,failed_modes,2,2,pca_readout_recalibrated,0.00215443469003188,0.266401251223715
1,4,J=0.65,failed_modes,2,3,zero_shot,0.00215443469003188,7.29361734804695
1,4,J=0.65,failed_modes,2,3,pca_readout_recalibrated,0.00215443469003188,0.263972056742726
1,4,J=0.65,failed_modes,3,1,zero_shot,0.00215443469003188,7.87112704434673
1,4,J=0.65,failed_modes,3,1,pca_readout_recalibrated,0.00215443469003188,0.264958828408131
1,4,J=0.65,failed_modes,3,2,zero_shot,0.00215443469003188,9.26219989582071
1,4,J=0.65,failed_modes,3,2,pca_readout_recalibrated,0.00215443469003188,0.266826304663175
1,4,J=0.65,failed_modes,3,3,zero_shot,0.00215443469003188,13.2770106814448
1,4,J=0.65,failed_modes,3,3,pca_readout_recalibrated,0.00215443469003188,0.28182785472837
2,1,J=0,clean,0,1,zero_shot,0.0001,0.311295273705184
2,1,J=0,detector_snr_db,40,1,zero_shot,0.0001,8.15361349744897
2,1,J=0,detector_snr_db,40,1,pca_readout_recalibrated,0.0001,0.378997351689365
2,1,J=0,detector_snr_db,40,2,zero_shot,0.0001,8.26996181423084
