lockedIndex,seedOffset,datasetSeed,method,requestedBudget,actualCoefficients,modelOrder,ridgeLambda,testNRMSE,R2true
8,1008,1017204,nvar_degree_2,351,351,25,1e-06,0.118908415230778,0.985860788787305
8,1008,1017204,nvar_degree_2,513,496,30,1e-06,0.0920490670321281,0.991526969258515
8,1008,1017204,nvar_degree_2,1025,990,43,1e-06,0.0735768100664341,0.994586453020448
8,1008,1017204,nvar_degree_2,2049,2016,62,1e-06,0.0754460298640584,0.994307896577752
8,1008,1017204,nvar_degree_3,65,56,5,46.4158883361278,0.805875742203351,0.350564288128198
8,1008,1017204,nvar_degree_3,129,120,7,46.4158883361278,0.804946306264509,0.352061444031123
8,1008,1017204,nvar_degree_3,257,220,9,100,0.805962629231665,0.350424240281981
8,1008,1017204,nvar_degree_3,351,286,10,100,0.804551524650869,0.352696844181962
8,1008,1017204,nvar_degree_3,513,455,12,10,0.379820623946715,0.855736293624728
8,1008,1017204,nvar_degree_3,1025,969,16,4.64158883361278,0.249321618397135,0.937838730599833
8,1008,1017204,nvar_degree_3,2049,2024,21,4.64158883361278,0.178354816931014,0.968189559277505
8,1008,1017204,tapped_esn,65,53,4,0.0464158883361278,0.379370247580547,0.856078215250674
8,1008,1017204,tapped_esn,129,118,9,0.00464158883361278,0.374175090650704,0.859993001536537
8,1008,1017204,tapped_esn,257,248,19,1e-06,0.319843486327539,0.897700144253845
8,1008,1017204,tapped_esn,351,339,26,0.0001,0.225040188943022,0.949356913360489
8,1008,1017204,tapped_esn,513,508,39,4.64158883361278e-05,0.170973267163461,0.970768141915452
8,1008,1017204,tapped_esn,1025,1015,78,1e-05,0.106885753743897,0.988575435646599
8,1008,1017204,tapped_esn,2049,2042,157,1e-05,0.094279590999306,0.991111358721004
9,1009,1018214,input_delays,65,65,64,1e-06,0.391915473302113,0.846402261786381
9,1009,1018214,input_delays,129,129,128,1e-06,0.394614101847619,0.844279710622997
9,1009,1018214,input_delays,257,257,256,1e-06,0.396248989882443,0.842986738017143
9,1009,1018214,input_delays,351,351,350,1e-06,0.397395315390951,0.842076963305326
9,1009,1018214,input_delays,513,513,512,1e-06,0.398544191727096,0.841162527240596
9,1009,1018214,input_delays,1025,1025,1024,4.64158883361278,0.407818875093282,0.83368376511765
9,1009,1018214,input_delays,2049,2049,2048,215.443469003188,0.422516918311291,0.82147945374073
9,1009,1018214,nvar_degree_2,65,55,9,1e-06,0.807338253006495,0.348204945232421
9,1009,1018214,nvar_degree_2,129,120,14,1e-06,0.27935615816522,0.921960136895168
9,1009,1018214,nvar_degree_2,257,253,21,1e-06,0.169911278464345,0.971130157450612
9,1009,1018214,nvar_degree_2,351,351,25,1e-06,0.127072015640775,0.983852702840991
9,1009,1018214,nvar_degree_2,513,496,30,1e-06,0.103160738400839,0.989357862052594
9,1009,1018214,nvar_degree_2,1025,990,43,1e-06,0.0838386894146215,0.992971074157239
9,1009,1018214,nvar_degree_2,2049,2016,62,1e-06,0.081738088545717,0.993318884880892
9,1009,1018214,nvar_degree_3,65,56,5,46.4158883361278,0.817652471794561,0.331444435368244
9,1009,1018214,nvar_degree_3,129,120,7,46.4158883361278,0.814637167703004,0.336366284996827
9,1009,1018214,nvar_degree_3,257,220,9,100,0.815470064494527,0.335008573913292
9,1009,1018214,nvar_degree_3,351,286,10,100,0.814593539770948,0.336437364963436
9,1009,1018214,nvar_degree_3,513,455,12,10,0.38053714812407,0.855191478897599
9,1009,1018214,nvar_degree_3,1025,969,16,4.64158883361278,0.248778444664206,0.938109285470458
9,1009,1018214,nvar_degree_3,2049,2024,21,4.64158883361278,0.172603350258604,0.970208083479506
9,1009,1018214,tapped_esn,65,53,4,0.0464158883361278,0.395241995785793,0.843783764767263
9,1009,1018214,tapped_esn,129,118,9,0.00464158883361278,0.375333288018687,0.859124922905082
9,1009,1018214,tapped_esn,257,248,19,1e-06,0.306080163957054,0.906314933232023
9,1009,1018214,tapped_esn,351,339,26,0.0001,0.24412073137181,0.940405068514493
9,1009,1018214,tapped_esn,513,508,39,4.64158883361278e-05,0.17494453081461,0.969394411138056
9,1009,1018214,tapped_esn,1025,1015,78,1e-05,0.111621649387698,0.98754060738797
9,1009,1018214,tapped_esn,2049,2042,157,1e-05,0.0954429557675254,0.990890642194358
10,1010,1019222,input_delays,65,65,64,1e-06,0.386034112105853,0.850977664290645
10,1010,1019222,input_delays,129,129,128,1e-06,0.38758835872114,0.849775264183853
10,1010,1019222,input_delays,257,257,256,1e-06,0.390097603122858,0.847823860037801
10,1010,1019222,input_delays,351,351,350,1e-06,0.391039436589163,0.84708815903203
10,1010,1019222,input_delays,513,513,512,1e-06,0.394056835807095,0.8447192101537
10,1010,1019222,input_delays,1025,1025,1024,4.64158883361278,0.402123241875948,0.838296898343178
10,1010,1019222,input_delays,2049,2049,2048,215.443469003188,0.405815002050991,0.835314184110354
10,1010,1019222,nvar_degree_2,65,55,9,1e-06,0.810453367636734,0.343165338886277
10,1010,1019222,nvar_degree_2,129,120,14,1e-06,0.287549924714531,0.917315040796668
10,1010,1019222,nvar_degree_2,257,253,21,1e-06,0.168327103123432,0.971665986354073
10,1010,1019222,nvar_degree_2,351,351,25,1e-06,0.120261422215322,0.985537190326748
10,1010,1019222,nvar_degree_2,513,496,30,1e-06,0.0937108566483923,0.991218275346225
10,1010,1019222,nvar_degree_2,1025,990,43,1e-06,0.0757227288675066,0.994266068332858
10,1010,1019222,nvar_degree_2,2049,2016,62,1e-06,0.0761549136690257,0.994200429124063
10,1010,1019222,nvar_degree_3,65,56,5,46.4158883361278,0.820549731797204,0.326698137647537
10,1010,1019222,nvar_degree_3,129,120,7,46.4158883361278,0.81607808142433,0.334016565018784
10,1010,1019222,nvar_degree_3,257,220,9,100,0.8143704351933,0.336800794283075
10,1010,1019222,nvar_degree_3,351,286,10,100,0.814262304279284,0.336976899829791
10,1010,1019222,nvar_degree_3,513,455,12,10,0.385772216872547,0.85117979668924
10,1010,1019222,nvar_degree_3,1025,969,16,4.64158883361278,0.250939665919513,0.937029284068203
10,1010,1019222,nvar_degree_3,2049,2024,21,4.64158883361278,0.169528024425822,0.971260248934278
10,1010,1019222,tapped_esn,65,53,4,0.0464158883361278,0.390743620402691,0.847319423114598
10,1010,1019222,tapped_esn,129,118,9,0.00464158883361278,0.381631055560885,0.854357737431485
10,1010,1019222,tapped_esn,257,248,19,1e-06,0.330295637181738,0.89090479205871
10,1010,1019222,tapped_esn,351,339,26,0.0001,0.264305681343939,0.930142506809316
10,1010,1019222,tapped_esn,513,508,39,4.64158883361278e-05,0.197309471453644,0.961068972474684
10,1010,1019222,tapped_esn,1025,1015,78,1e-05,0.107655156008569,0.988410367384771
10,1010,1019222,tapped_esn,2049,2042,157,1e-05,0.0900572645080881,0.99188968910932
11,1011,1020231,input_delays,65,65,64,1e-06,0.383206922491609,0.85315245455451
11,1011,1020231,input_delays,129,129,128,1e-06,0.384101870583937,0.85246575301392
11,1011,1020231,input_delays,257,257,256,1e-06,0.385466705272556,0.85141541912632
11,1011,1020231,input_delays,351,351,350,1e-06,0.387820399935876,0.849595337393577
11,1011,1020231,input_delays,513,513,512,1e-06,0.388445574157472,0.849110035917472
11,1011,1020231,input_delays,1025,1025,1024,4.64158883361278,0.394981314375132,0.843989761294493
11,1011,1020231,input_delays,2049,2049,2048,215.443469003188,0.407811859933761,0.833689486897366
11,1011,1020231,nvar_degree_2,65,55,9,1e-06,0.793002197534997,0.371147514704666
11,1011,1020231,nvar_degree_2,129,120,14,1e-06,0.258887678594099,0.932977169872159
11,1011,1020231,nvar_degree_2,257,253,21,1e-06,0.146068505090522,0.97866399182062
11,1011,1020231,nvar_degree_2,351,351,25,1e-06,0.10263568742246,0.989465915667319
