seedIndex,conditionIndex,condition,capacityType,lagA,lagB,capacity
3,1,"J=0, heterogeneous, both",linear,17,0,0.273988792877985
3,1,"J=0, heterogeneous, both",linear,18,0,0.27254651753106
3,1,"J=0, heterogeneous, both",linear,19,0,0.272865563808296
3,1,"J=0, heterogeneous, both",linear,20,0,0.274159494714534
3,1,"J=0, heterogeneous, both",quadratic,1,1,0.00331179910604817
3,1,"J=0, heterogeneous, both",quadratic,2,2,0.0044626225417026
3,1,"J=0, heterogeneous, both",quadratic,3,3,0.00490185286421507
3,1,"J=0, heterogeneous, both",quadratic,4,4,0.00478528182176086
3,1,"J=0, heterogeneous, both",quadratic,5,5,0.00347782457831813
3,1,"J=0, heterogeneous, both",quadratic,6,6,0.00210788836425901
3,1,"J=0, heterogeneous, both",quadratic,7,7,0.00129988120479319
3,1,"J=0, heterogeneous, both",quadratic,8,8,0.000927546240746979
3,1,"J=0, heterogeneous, both",quadratic,9,9,0.000981546972684932
3,1,"J=0, heterogeneous, both",quadratic,10,10,0.00118381447423632
3,1,"J=0, heterogeneous, both",cross_product,1,2,0.0200842431563758
3,1,"J=0, heterogeneous, both",cross_product,1,3,0.0265633105192679
3,1,"J=0, heterogeneous, both",cross_product,1,4,0.0160794445996386
3,1,"J=0, heterogeneous, both",cross_product,1,5,0.0244092337142363
3,1,"J=0, heterogeneous, both",cross_product,1,6,0.0307602236207853
3,1,"J=0, heterogeneous, both",cross_product,1,7,0.0150324553326135
3,1,"J=0, heterogeneous, both",cross_product,1,8,0.0103422027909387
3,1,"J=0, heterogeneous, both",cross_product,1,9,0.0125541962610926
3,1,"J=0, heterogeneous, both",cross_product,1,10,0.0147492292900666
3,1,"J=0, heterogeneous, both",cross_product,2,3,0.0272140551836932
3,1,"J=0, heterogeneous, both",cross_product,2,4,0.0336359948081374
3,1,"J=0, heterogeneous, both",cross_product,2,5,0.0207507010218368
3,1,"J=0, heterogeneous, both",cross_product,2,6,0.0254615113263472
3,1,"J=0, heterogeneous, both",cross_product,2,7,0.0258371153797474
3,1,"J=0, heterogeneous, both",cross_product,2,8,0.0141257423990279
3,1,"J=0, heterogeneous, both",cross_product,2,9,0.00855940214282902
3,1,"J=0, heterogeneous, both",cross_product,2,10,0.0131337147294616
3,1,"J=0, heterogeneous, both",cross_product,3,4,0.030896534403445
3,1,"J=0, heterogeneous, both",cross_product,3,5,0.0344564293549774
3,1,"J=0, heterogeneous, both",cross_product,3,6,0.0177607829326233
3,1,"J=0, heterogeneous, both",cross_product,3,7,0.0212676625789636
3,1,"J=0, heterogeneous, both",cross_product,3,8,0.0213069953489398
3,1,"J=0, heterogeneous, both",cross_product,3,9,0.0139935929465389
3,1,"J=0, heterogeneous, both",cross_product,3,10,0.00952219655323083
3,1,"J=0, heterogeneous, both",cross_product,4,5,0.0334170582871416
3,1,"J=0, heterogeneous, both",cross_product,4,6,0.0311299908752848
3,1,"J=0, heterogeneous, both",cross_product,4,7,0.0158228041680261
3,1,"J=0, heterogeneous, both",cross_product,4,8,0.0173443110514132
3,1,"J=0, heterogeneous, both",cross_product,4,9,0.017549752686432
3,1,"J=0, heterogeneous, both",cross_product,4,10,0.0129733584500733
3,1,"J=0, heterogeneous, both",cross_product,5,6,0.0333291600186593
3,1,"J=0, heterogeneous, both",cross_product,5,7,0.024470502244884
3,1,"J=0, heterogeneous, both",cross_product,5,8,0.010995702420886
3,1,"J=0, heterogeneous, both",cross_product,5,9,0.0149311632797529
3,1,"J=0, heterogeneous, both",cross_product,5,10,0.0140528195948542
3,1,"J=0, heterogeneous, both",cross_product,6,7,0.0272751166130825
3,1,"J=0, heterogeneous, both",cross_product,6,8,0.0192795095566478
3,1,"J=0, heterogeneous, both",cross_product,6,9,0.00892738497390422
3,1,"J=0, heterogeneous, both",cross_product,6,10,0.0141518763557942
3,1,"J=0, heterogeneous, both",cross_product,7,8,0.0229030989437025
3,1,"J=0, heterogeneous, both",cross_product,7,9,0.0153746598278626
3,1,"J=0, heterogeneous, both",cross_product,7,10,0.00816089036988199
3,1,"J=0, heterogeneous, both",cross_product,8,9,0.02036519184301
3,1,"J=0, heterogeneous, both",cross_product,8,10,0.0138107569818737
3,1,"J=0, heterogeneous, both",cross_product,9,10,0.0202586351118088
4,1,"J=0, heterogeneous, both",linear,1,0,0.788184873071095
4,1,"J=0, heterogeneous, both",linear,2,0,0.439723329894196
4,1,"J=0, heterogeneous, both",linear,3,0,0.44124565566708
4,1,"J=0, heterogeneous, both",linear,4,0,0.379642151168049
4,1,"J=0, heterogeneous, both",linear,5,0,0.373150475395195
4,1,"J=0, heterogeneous, both",linear,6,0,0.373776117027708
4,1,"J=0, heterogeneous, both",linear,7,0,0.351691178293679
4,1,"J=0, heterogeneous, both",linear,8,0,0.348393968200914
4,1,"J=0, heterogeneous, both",linear,9,0,0.346821325708582
4,1,"J=0, heterogeneous, both",linear,10,0,0.333442414878231
4,1,"J=0, heterogeneous, both",linear,11,0,0.332900083030598
4,1,"J=0, heterogeneous, both",linear,12,0,0.334100345826975
4,1,"J=0, heterogeneous, both",linear,13,0,0.331426015191863
4,1,"J=0, heterogeneous, both",linear,14,0,0.326695509889599
4,1,"J=0, heterogeneous, both",linear,15,0,0.3279470035447
4,1,"J=0, heterogeneous, both",linear,16,0,0.326065584104254
4,1,"J=0, heterogeneous, both",linear,17,0,0.321225682033522
4,1,"J=0, heterogeneous, both",linear,18,0,0.323148964311071
4,1,"J=0, heterogeneous, both",linear,19,0,0.322842031125765
4,1,"J=0, heterogeneous, both",linear,20,0,0.314248747117852
4,1,"J=0, heterogeneous, both",quadratic,1,1,0.00208567917564173
4,1,"J=0, heterogeneous, both",quadratic,2,2,0.00104383037372002
4,1,"J=0, heterogeneous, both",quadratic,3,3,0.00144983257331144
4,1,"J=0, heterogeneous, both",quadratic,4,4,0.00131643021352401
4,1,"J=0, heterogeneous, both",quadratic,5,5,0.000891967902946322
4,1,"J=0, heterogeneous, both",quadratic,6,6,0
4,1,"J=0, heterogeneous, both",quadratic,7,7,0
4,1,"J=0, heterogeneous, both",quadratic,8,8,0
4,1,"J=0, heterogeneous, both",quadratic,9,9,0
4,1,"J=0, heterogeneous, both",quadratic,10,10,0
4,1,"J=0, heterogeneous, both",cross_product,1,2,0.0154994979856895
4,1,"J=0, heterogeneous, both",cross_product,1,3,0.0163370071685145
4,1,"J=0, heterogeneous, both",cross_product,1,4,0.0126343848027634
4,1,"J=0, heterogeneous, both",cross_product,1,5,0.0126457227736718
4,1,"J=0, heterogeneous, both",cross_product,1,6,0.0119352807507408
4,1,"J=0, heterogeneous, both",cross_product,1,7,0.00993855635572549
4,1,"J=0, heterogeneous, both",cross_product,1,8,0
