readoutId,readoutTrajectoryId,requestedVirtualSamples,actualVirtualSamples,virtualNodeIdx,tapSetIndex,tapDelays,nDelayBlocks,nPC,actualCoefficientsIncludingBias,rawQuadratureDimension
179,45,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
180,45,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
181,46,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
182,46,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
183,46,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
184,46,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
185,47,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
186,47,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
187,47,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
188,47,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
189,48,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
190,48,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
191,48,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
192,48,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
193,49,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
194,49,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
195,49,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
196,49,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
197,50,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
198,50,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
199,50,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
200,50,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
201,51,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
202,51,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
203,51,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
204,51,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
205,52,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
206,52,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
207,52,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
208,52,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
209,53,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
210,53,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
211,53,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
212,53,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
