caseLabel,featureMode,variant,K,J,nPC,tapDelays,readoutCoefficients,valNRMSE,testNRMSE,R2true,lambdaBest,lockedIndex
K+0_J0,number_features,Budget1025,0,0,78,0;1;2;3;4;5;6;7;8;9;10;12;15,1015,0.304303323970054,0.298976517715804,0.910613041854532,4.64158883361278,5
K+0_J0,number_features,Budget2049,0,0,157,0;1;2;3;4;5;6;7;8;9;10;12;15,2042,0.304528721920246,0.301154512637871,0.909305959517846,464.158883361278,5
K+0_J0.65,linear_features,Budget65,0,0.65,4,0;1;2;3;4;5;6;7;8;9;10;12;15,53,0.373320754849848,0.386012002519746,0.850994733910696,0.000464158883361278,5
K+0_J0.65,linear_features,Budget129,0,0.65,9,0;1;2;3;4;5;6;7;8;9;10;12;15,118,0.343515719108481,0.35205504366217,0.876057246232028,0.001,5
K+0_J0.65,linear_features,Budget257,0,0.65,19,0;1;2;3;4;5;6;7;8;9;10;12;15,248,0.273046760043523,0.291251144262387,0.91517277096585,1e-06,5
K+0_J0.65,linear_features,Budget351,0,0.65,26,0;1;2;3;4;5;6;7;8;9;10;12;15,339,0.263577776713949,0.277376667904671,0.923062184102102,0.0001,5
K+0_J0.65,linear_features,Budget513,0,0.65,39,0;1;2;3;4;5;6;7;8;9;10;12;15,508,0.257503731809656,0.27118427559441,0.926459088670335,0.0001,5
K+0_J0.65,linear_features,Budget1025,0,0.65,78,0;1;2;3;4;5;6;7;8;9;10;12;15,1015,0.250462622088122,0.260348920891009,0.932218439390887,2.15443469003188,5
K+0_J0.65,linear_features,Budget2049,0,0.65,157,0;1;2;3;4;5;6;7;8;9;10;12;15,2042,0.25690923380623,0.259497897280711,0.93266084130689,21.5443469003188,5
K+0_J0.65,number_features,Budget65,0,0.65,4,0;1;2;3;4;5;6;7;8;9;10;12;15,53,0.410376117633606,0.423503849816506,0.820644489190599,1e-06,5
K+0_J0.65,number_features,Budget129,0,0.65,9,0;1;2;3;4;5;6;7;8;9;10;12;15,118,0.364621954414095,0.374236271051101,0.859947213429767,0.01,5
K+0_J0.65,number_features,Budget257,0,0.65,19,0;1;2;3;4;5;6;7;8;9;10;12;15,248,0.33565121235398,0.341414771335127,0.883435953914183,0.00215443469003188,5
K+0_J0.65,number_features,Budget351,0,0.65,26,0;1;2;3;4;5;6;7;8;9;10;12;15,339,0.322136510215211,0.324984619560648,0.894384997049021,0.001,5
